商品管理番号,商品名,すべての情報,数量
y001,エリザベスカラー 猫 犬 ソフト ネコ ,"タイプ:B級ワケアリ
カラー:グリーン",1
y001,エリザベスカラー 猫 犬 ソフト ネコ ,"タイプ:B級ワケアリ
カラー:ピンク",1
y002,洗える ペットシーツ 犬 トイレマット ,B級ワケアリ L,2
y002,洗える ペットシーツ 犬 トイレマット ,グレー XL,2
y002,洗える ペットシーツ 犬 トイレマット ,グレー 特大,4
y002,洗える ペットシーツ 犬 トイレマット ,シルバーパープル M,10
y002,洗える ペットシーツ 犬 トイレマット ,シルバーパープル 特大,1
y002,洗える ペットシーツ 犬 トイレマット ,ベージュ XL,1
y002,洗える ペットシーツ 犬 トイレマット ,犬柄ブラウン 大,2
y002,洗える ペットシーツ 犬 トイレマット ,骨柄グレー S,3
y002,洗える ペットシーツ 犬 トイレマット ,骨柄グレー 大,2
y002,洗える ペットシーツ 犬 トイレマット ,骨柄ホワイト L,6
y002,洗える ペットシーツ 犬 トイレマット ,骨柄ホワイト M,6
y002,洗える ペットシーツ 犬 トイレマット ,骨柄ホワイト S,2
y002,洗える ペットシーツ 犬 トイレマット ,骨柄ホワイト XL,3
y002,洗える ペットシーツ 犬 トイレマット ,骨柄ホワイト XS,1
y002,洗える ペットシーツ 犬 トイレマット ,骨柄ホワイト 大,3
y002,,S（サービス品）,10
y006waterpouch,防水ポーチ 無地 汚れ物入れ 保育園 幼,カラー:#7 ベビーブルー,1
y012pet_bathmat,犬 シャンプー 滑り止め マット お風呂,"カラー:ホワイト
サイズ:レギュラー",1
y015karasu_net,カラスよけ ゴミネット カラスよけネット,サイズ:1.5m×2.0m,1
y015karasu_net,カラスよけ ゴミネット カラスよけネット,サイズ:2.0m×3.0m,3
y015karasu_net,カラスよけ ゴミネット カラスよけネット,サイズ:3.0m×4.0m,1
y016ac_mirror,割れない鏡 貼る鏡 赤ちゃん 鏡 壁に貼,丸角 (60×30cm),6
y018cartowel,洗車タオル マイクロファイバー 吸水 大,セット:特大×１＋中×１,2
y021fuku_cover,ハンガーラックカバー 衣類カバー 洋服カ,タイプ:窓付きショート,8
y021fuku_cover,ハンガーラックカバー 衣類カバー 洋服カ,タイプ:窓付きロング,6
y023dis_shorts,使い捨てショーツ 使い捨てパンツ 使い捨,"カラー:多色
サイズ:２XL（65kg~75kg）
セット:１５枚",15
y023dis_shorts,使い捨てショーツ 使い捨てパンツ 使い捨,"カラー:黒
サイズ:XL（55kg~65kg）
セット:１０枚",10
y024cat_tume,猫 爪とぎシート 猫 爪とぎ シート  ,"カラー:オフホワイト
セット:30×100cm",3
y024cat_tume,猫 爪とぎシート 猫 爪とぎ シート  ,"カラー:オフホワイト
セット:４枚(20×30)",1
y025_silicon_toilet,犬 トイレ トイレトレー シリコン シリ,"カラー:グレー
サイズ:M
タイプ:メール便",4
y025_silicon_toilet,犬 トイレ トイレトレー シリコン シリ,"カラー:グレー
サイズ:S
タイプ:メール便",1
y025_silicon_toilet,犬 トイレ トイレトレー シリコン シリ,"カラー:ホワイト
サイズ:M
タイプ:メール便",4
y025_silicon_toilet,犬 トイレ トイレトレー シリコン シリ,"カラー:ライトブラウン
サイズ:M
タイプ:メール便",4
y026_nuigurumi,ぬいぐるみ収納 吊り下げ アイデア ぬい,"カラー:ホワイト
サイズ:４段",2
y028_cable-cover,ケーブルカバー 配線カバー 木目 ケーブ,"カラー:#6 白メープル（木目調）
サイズ:2m",1
y029_photo-frame,フォトフレーム 2L L判 写真立て お,"カラー:ライトベージュ
サイズ:L判",1
