※この情報は店舗様および楽天市場での重要な情報となります。データの取扱には十分にご注意ください。
商品分析
表示期間,2026年04月10日から2026年04月10日
キーワード
端末,すべて
#,ジャンル,カタログID,商品ID,商品名,商品管理番号,商品番号,売上,売上件数,売上個数,アクセス人数,ユニークユーザー数,転換率,客単価,総購入件数,新規購入件数,リピート購入件数,未購入アクセス人数,レビュー投稿数,レビュー総合評価（点）,総レビュー数,滞在時間（秒）,直帰数,離脱数,離脱率,お気に入り登録ユーザ数,お気に入り総ユーザ数,在庫数
1,"ペット・ペットグッズ > 犬用品 > ベッド・マット・寝具 > マット","",10000016,"＼最大２０%OFFクーポン！最大＋２枚もらえる／洗える ペットシーツ 犬 トイレマット おしっこマット 防水マット 防水シート ペットシート 速乾 超吸収 滑り止め 大きい おしっこシート おしっこパッド 介護用 多頭飼い 繰り返し",y002,"",97340,22,48,147,133,14.97%,4425,22,13,9,122,8,4.71,2040,47,131,9,95.24%,7,2515,2583
2,"ペット・ペットグッズ > 犬用品 > トイレ用品 > その他","",10000069,"＼最大４０％オフクーポン／犬 トイレ トイレトレー シリコン シリコンマット トイレマット シリコントイレ 洗える 水洗い トイレマット 薄型 持ち運び 漏れ防止 多頭飼い 防水",y025_silicon_toilet,"",24740,10,13,95,77,10.53%,2474,10,10,0,83,1,4.65,84,50,87,2,93.68%,4,474,227
3,"インテリア・寝具・収納 > 鏡 > 三面鏡","",10000047,"＼最大+２枚もらえる／割れない鏡  貼る鏡 赤ちゃん 鏡 壁に貼る鏡 ミラーシール アクリルミラー  割れないミラー 全身鏡 貼れる 貼る 姿見鏡 割れない 子ども 子供 ケガ防止 アクリル ミラー 飛散防止 賃貸OK 省スペース 両面シールつき 軽量",y016ac_mirror,"",11680,6,6,88,84,6.82%,1947,6,5,1,82,2,4.59,575,43,83,0,94.32%,6,1639,459
4,"日用品雑貨・文房具・手芸 > 生活雑貨 > 収納用品 > その他","",10000065,"＼最大４０％オフクーポンあり／ハンガーラックカバー 衣類カバー 洋服カバー 衣類収納カバー 防塵 衣類収納 不織布 スリム おしゃれ 半透明 手洗い可能 ホコリ 害虫 コートカバー スーツ ジャケット クローゼット 中身が見える",y021fuku_cover,"",31200,10,24,40,36,25.00%,3120,10,9,1,31,0,4.49,89,29,37,3,100%,5,329,221
5,"ペット・ペットグッズ > ペット用お手入れ用品 > バス用品 > その他","",10000039,"犬 シャンプー 滑り止め マット お風呂 洗面台 ずれない ワンちゃん ペット ペットバス バスタブ シャンプーマット 仔犬 イヌ用マット マット トリミング 手入れ ドライヤー 時間短縮  解消 犬シャンプー 便利 グッズ  わんちゃん 風呂 ケア",y012pet_bathmat,"",3540,3,3,38,37,7.89%,1180,3,2,1,34,1,4.54,319,50,26,6,84.21%,4,1167,305
6,"インナー・下着・ナイトウェア > レディース > インナー・下着・ランジェリー > ショーツ > その他","",10000067,"＼最大４０％オフクーポンあり／使い捨てショーツ 使い捨てパンツ 使い捨て下着 女性 レディース 綿100％ 使い捨て パンツ 入院 携帯 ショーツ 個別包装  業務 施術用 介護 インナー 防災 携帯用 便利 持ち運び 非常時 災害避難 防災備蓄用",y023dis_shorts,"",2380,1,1,36,34,2.78%,2380,1,1,0,35,0,4.43,94,28,36,0,100%,2,262,313
7,"ペット・ペットグッズ > 猫用品 > 介護用品","",10000015,"＼最大３０％オフクーポン／エリザベスカラー 猫 犬 ソフト ネコ フリル 柔らかい 簡単装着 猫用 犬用 かわいい スタイ サイズ調整 介護 術後ケア 怪我 去勢 避妊 布 傷口保護 首回り 軽量 調節可能 子猫 成猫",y001,"",3240,4,4,32,30,12.50%,810,4,4,0,30,0,4.49,457,45,28,2,93.75%,0,737,257
8,"美容・コスメ・香水 > ボディケア > デオドラント・制汗剤 > 汗取りパッド","",10000033,"脇汗 パッド メンズ 使い捨て 脇汗パッド 汗脇パッド 脇汗シート 速乾 レディース 男性 女性 直貼り  脇汗パット 脇パット 脇パッド 汗取りパッド  脇汗 わき汗パッド 汗じみ パット 薄型 ワキガ 加齢臭 脇 ワキ 男 女",y008waki_pad,"",1350,2,2,28,27,7.14%,675,2,2,0,26,2,4.45,88,26,28,0,100%,3,329,222
9,"インテリア・寝具・収納 > インテリア小物・置物 > フォトフレーム","",10000078,"＼新発売記念 最大７０％オフクーポン／フォトフレーム 2L L判 写真立て おしゃれ 回転式 フォトスタンド 複数枚 2面 2枚 写真たて 写真フレーム 写真用フレーム 写真入れ ポストカード 木製 折りたたみ 北欧 ベージュ ブラウン プレゼント",y029_photo-frame,"",1850,1,1,26,19,3.85%,1850,1,1,0,23,0,4.20,5,28,26,0,100%,2,29,13
10,"車用品・バイク用品 > 車用品 > メンテナンス用品 > ボディ洗浄・ケア用品 > その他","",10000057,"＼最大４０％オフクーポンあり／洗車タオル マイクロファイバー 吸水 大判 洗車  拭き上げ クロス 傷防止 大判 タオル 洗車グッズ 160cm セット 吸収 速乾 窓拭き フロントガラス 掃除 業務用 洗車用品 速乾性 軽自動車 SUV ミニバン",y018cartowel,"",4600,3,3,24,19,12.50%,1533,3,3,0,20,0,4.57,86,40,21,1,91.67%,1,129,181
11,"日用品雑貨・文房具・手芸 > 生活雑貨 > 収納用品 > 衣類圧縮袋","",10000055,"＼最大３０％オフクーポンあり／布団圧縮袋 圧縮袋 ふとん 衣類 掃除機 布団 ふとん圧縮袋 掃除機不要 圧縮収納袋 掃除機 衣替え 収納 大掃除 トラベル シングル ダブル ダニ対策 防湿 防臭 防塵",y017futon,"",2510,1,2,19,16,5.26%,2510,1,1,0,17,2,4.52,119,75,17,1,94.74%,0,216,263
12,"花・ガーデン・DIY > エクステリア・ガーデンファニチャー > 屋外ゴミ収集庫","",10000046,"カラスよけ ゴミネット カラスよけネット ゴミ ネット 45Lゴミ袋 大型 ゴミ置き場 カラス被害対策 カラス対策網 細かい網目 強風 飛ばされにくい 設置簡単 丈夫 ゴミ出し 集合住宅 マンション アパート カラス避け 対策 猫 防鳥ネット ゴミ網",y015karasu_net,"",16620,3,5,18,16,16.67%,5540,3,3,0,13,0,4.60,95,86,17,1,100%,2,216,180
13,"ペット・ペットグッズ > 猫用品 > ベッド・マット・寝具 > その他","",10000068,"＼最大４０％オフクーポン／猫 爪とぎシート 猫 爪とぎ シート  防止 壁 貼り付け 剥がせる はがせる 壁紙保護シート ソファ 保護 傷防止 マット カーペット 柱 ドア 家具 床 畳 ストレス解消 カット可能 ペット用品 貼付け 大判 賃貸OK ひっかき 対策 壁に貼る",y024cat_tume,"",9700,2,5,17,16,11.76%,4850,2,2,0,15,0,4.33,45,53,16,0,94.12%,0,204,412
14,"キッズ・ベビー・マタニティ > おむつ・トイレ用品 > おむつポーチ","",10000031,"＼最大４０％OFFクーポンあり／防水ポーチ 無地 汚れ物入れ 保育園 幼稚園  防水バッグ 防水袋 おむつポーチ プールバッグ オムツポーチ マルチポーチ お風呂バッグ 温泉バッグ ビーチバッグ ジム 水泳 スポーツ トラベルポーチ 旅行 着替え袋 シンプル かわいい",y006waterpouch,"",2000,2,2,12,12,16.67%,1000,2,2,0,10,0,4.63,63,16,11,1,100%,0,160,51
15,"日用品雑貨・文房具・手芸 > 生活雑貨 > 収納用品 > その他","",10000072,"＼新発売記念 最大７０％オフクーポン／ぬいぐるみ収納 吊り下げ アイデア ぬいぐるみポケット ぬいぐるみ 収納 ウォールポケット 大容量 壁掛け ひっかけ ドア掛け ほこりよけ 棚 ドア 壁掛け収納 収納ポケット 吊り下げ 壁面収納 ディスプレイケース 見せる収納",y026_nuigurumi,"",4940,2,3,9,9,22.22%,2470,2,1,1,7,2,4.47,19,14,8,0,88.89%,0,67,219
16,"インテリア・寝具・収納 > 子供部屋用インテリア・寝具・収納 > 収納 > その他","",10000077,"＼新発売記念 最大７０％オフクーポン／ケーブルカバー 配線カバー 木目 ケーブル コードカバー カバー 配線モール ケーブルモール 床用 コード隠し テレビ カーペット lanケーブル ケーブルプロテクター 配線 収納 床 壁 室内 ペット 1m 2m 3m ケーブルバンド",y028_cable-cover,"",4740,2,3,9,9,22.22%,2370,2,2,0,7,0,4.50,4,35,8,1,100%,0,7,137
17,"ペット・ペットグッズ > 犬用品 > 介護用品 > エリザベスカラー","",10000045,"エリザベスカラー 犬 猫 ソフト 柔らか クッション ソフトタイプ ペット用ソフトエリザベスカラー  花 水玉 傷舐め 引っかき防止 軽量 保護 傷舐め 足舐め 引っかき 防止 ケガ 怪我",y014gara_eliza,"",0,0,0,7,7,0.00%,0,0,0,0,7,1,4.27,59,41,6,0,85.71%,0,110,58
18,"日用品雑貨・文房具・手芸 > 旅行用品 > パスポートカバー","",10000035,"＼最大４０％オフクーポンあり／パスポートケース スキミング防止 パスポート ケース パスポートカバー パスポート入れ おしゃれ かわいい カバー 韓国 メンズ レディース カード 旅行用品 航空券 搭乗券 セキュリティ ゴムバンド付き RFID 盗難防止",y009passcase,"",0,0,0,7,7,0.00%,0,0,0,0,7,0,4.41,27,72,7,0,100%,1,129,52
19,"バッグ・小物・ブランド雑貨 > バッグ > バッグ用アクセサリー > スーツケースベルト","",10000040,"スーツケースベルト ゴム カラフル おしゃれ ２個セット キャリーバッグベルト ラゲージベルト 荷物固定 手荷物ホルダー 簡単取り付け 落下防止 盗難防止 防犯対策 荷崩れ防止 旅行用品 トラベル 便利グッズ",y013suit_belt,"",0,0,0,5,5,0.00%,0,0,0,0,5,0,4.40,118,33,5,0,100%,0,236,133
20,"インテリア・寝具・収納 > カーペット・マット・畳 > マット > その他","",10000073,"＼新発売記念 最大７０％オフクーポン／階段 滑り止めテープ 転倒防止 透明 10cm 5cm 2.5cm 幅 5m 滑り止め 目立たない 年寄り 子供 ペット 犬 猫 すべりどめ すべり止め 滑りどめ 安全 テープ すべり止めテープ 屋内用 浴槽 浴室 防水 強力 耐水 貼るだけ",y027_sube-tape,"",0,0,0,3,3,0.00%,0,0,0,0,3,0,4.57,7,4,3,0,100%,0,16,0
21,"スポーツ・アウトドア > ゴルフ > バッグ・ケース > その他","",10000038,"ゴルフ ボールケース ベルト ポーチ ホルダー ゴルフ小物ベルト付き ボール 距離計 レーザー距離計 入れ物 おしゃれ メンズ レディース 軽量 4個 ゴルフ用品 ティーケース バッグ ベルト通し 収納 ゴルフ用アクセサリー グリーンフォーク",y011golfball_case,"",0,0,0,2,2,0.00%,0,0,0,0,2,0,4.28,32,9,2,0,100%,0,113,27
22,"家電 > その他","4983771042454",10000079,"[山善] Qriom LED キュリオム プロジェクター ホワイト YLP-80HD",s007,"",0,0,0,1,1,0.00%,0,0,0,0,1,0,0.00,0,40,0,0,0.00%,0,0,3
